"iso3","year","median","varnum"
"ETH",1990,35.87263,"01"
"ETH",1995,36.61313,"01"
"ETH",2000,37.56883,"01"
"ETH",2005,39.14729,"01"
"ETH",2010,40.87867,"01"
"ETH",2015,38.53979,"01"
"ETH",2018,38.60112,"01"
"FIN",1990,96.78209,"01"
"FIN",1995,48.58904,"01"
"FIN",2000,106.66793,"01"
"FIN",2005,136.17307,"01"
"FIN",2010,125.50852,"01"
"FIN",2015,147.155,"01"
"FIN",2018,150.24029,"01"
"FJI",1990,106.59035,"01"
"FJI",1995,111.76742,"01"
"FJI",2000,109.69361,"01"
"FJI",2005,108.57266,"01"
"FJI",2010,112.51205,"01"
"FJI",2015,108.2337,"01"
"FJI",2018,109.34472,"01"
"FRA",1990,47.30217,"01"
"FRA",1995,76.15101,"01"
"FRA",2000,85.8406,"01"
"FRA",2005,127.7688,"01"
"FRA",2010,132.03502,"01"
"FRA",2015,127.78701,"01"
"FRA",2018,150.85044,"01"
"FSM",1990,107.01529,"01"
"FSM",1995,110.04309,"01"
"FSM",2000,130.90892,"01"
"FSM",2005,124.81653,"01"
"FSM",2010,131.04593,"01"
"FSM",2015,138.77475,"01"
"FSM",2018,145.37538,"01"
"GAB",1990,92.02237,"01"
"GAB",1995,86.21056,"01"
"GAB",2000,91.70261,"01"
"GAB",2005,76.78939,"01"
"GAB",2010,116.05034,"01"
"GAB",2015,74.30399,"01"
"GAB",2018,69.85451,"01"
"GBR",1990,88.70777,"01"
"GBR",1995,89.35066,"01"
"GBR",2000,90.1844,"01"
"GBR",2005,92.98098,"01"
"GBR",2010,94.33403,"01"
"GBR",2015,91.36458,"01"
"GBR",2018,91.30693,"01"
"GEO",1990,71.66489,"01"
"GEO",1995,71.97647,"01"
"GEO",2000,72.18213,"01"
"GEO",2005,72.82433,"01"
"GEO",2010,71.55767,"01"
"GEO",2015,71.9647,"01"
"GEO",2018,71.83418,"01"
"GHA",1990,79.37369,"01"
"GHA",1995,82.91347,"01"
"GHA",2000,86.04844,"01"
"GHA",2005,89.44056,"01"
"GHA",2010,91.75061,"01"
"GHA",2015,87.56733,"01"
"GHA",2018,87.94245,"01"
"GIN",1990,50.66342,"01"
"GIN",1995,53.31454,"01"
"GIN",2000,38.72402,"01"
"GIN",2005,54.50765,"01"
"GIN",2010,37.31351,"01"
"GIN",2015,25.37943,"01"
"GIN",2018,22.01326,"01"
"GMB",1990,11.82667,"01"
"GMB",1995,16.66551,"01"
"GMB",2000,20.48469,"01"
"GMB",2005,17.77351,"01"
"GMB",2010,32.58109,"01"
"GMB",2015,26.07196,"01"
"GMB",2018,30.72451,"01"
"GNB",1990,65.32157,"01"
"GNB",1995,70.66654,"01"
"GNB",2000,72.41155,"01"
"GNB",2005,73.59253,"01"
"GNB",2010,72.50295,"01"
"GNB",2015,68.69798,"01"
"GNB",2018,67.64745,"01"
"GNQ",1990,72.24792,"01"
"GNQ",1995,75.48309,"01"
"GNQ",2000,81.12605,"01"
"GNQ",2005,81.45041,"01"
"GNQ",2010,97.99797,"01"
"GNQ",2015,97.09505,"01"
"GNQ",2018,91.03263,"01"
"GRC",1990,133.14969,"01"
"GRC",1995,85.07789,"01"
"GRC",2000,135.00045,"01"
"GRC",2005,152.84879,"01"
"GRC",2010,63.31276,"01"
"GRC",2015,69.2417,"01"
"GRC",2018,77.04481,"01"
"GRD",1990,131.69415,"01"
"GRD",1995,139.92941,"01"
"GRD",2000,131.90856,"01"
"GRD",2005,132.21967,"01"
"GRD",2010,128.7274,"01"
"GRD",2015,122.89095,"01"
"GRD",2018,121.46379,"01"
"GTM",1990,58.64913,"01"
"GTM",1995,97.32404,"01"
"GTM",2000,96.96049,"01"
"GTM",2005,93.73994,"01"
"GTM",2010,101.78005,"01"
"GTM",2015,84.94681,"01"
"GTM",2018,75.62633,"01"
"GUY",1990,103.22758,"01"
"GUY",1995,125.86391,"01"
"GUY",2000,137.70349,"01"
"GUY",2005,107.59474,"01"
"GUY",2010,95.91721,"01"
"GUY",2015,138.2875,"01"
"GUY",2018,202.80992,"01"
"HND",1990,82.91863,"01"
"HND",1995,84.88689,"01"
"HND",2000,85.03561,"01"
"HND",2005,87.99527,"01"
"HND",2010,89.84889,"01"
"HND",2015,88.26489,"01"
"HND",2018,88.83178,"01"
"HRV",1990,57.55359,"01"
"HRV",1995,58.56734,"01"
"HRV",2000,58.38287,"01"
"HRV",2005,58.31739,"01"
"HRV",2010,58.62159,"01"
"HRV",2015,59.51412,"01"
"HRV",2018,59.54897,"01"
"HTI",1990,67.13567,"01"
"HTI",1995,68.35898,"01"
"HTI",2000,70.15314,"01"
"HTI",2005,71.68551,"01"
"HTI",2010,72.41642,"01"
"HTI",2015,69.93034,"01"
"HTI",2018,69.96614,"01"
"HUN",1990,70.53926,"01"
"HUN",1995,59.02635,"01"
"HUN",2000,72.70785,"01"
"HUN",2005,84.71341,"01"
"HUN",2010,70.5846,"01"
"HUN",2015,58.96803,"01"
"HUN",2018,59.96208,"01"
"IDN",1990,63.17683,"01"
"IDN",1995,65.65595,"01"
"IDN",2000,67.36581,"01"
"IDN",2005,71.67322,"01"
"IDN",2010,74.78049,"01"
"IDN",2015,66.92899,"01"
"IDN",2018,67.03698,"01"
"IND",1990,33.21868,"01"
"IND",1995,35.379,"01"
"IND",2000,38.22245,"01"
"IND",2005,39.86619,"01"
"IND",2010,41.83127,"01"
"IND",2015,35.65787,"01"
"IND",2018,35.78674,"01"
"IRL",1990,72.49165,"01"
